Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment,Class,Order,Rough_Class,Diet
H15,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
H21,Amietia hymenopus,Phofung river frog,Amphibian,Juvenile,Wild,"Mont-aux-Sources, Drakensberg National Park, South Africa",South Africa,2015,95% ethanol,Tadpole mouthparts,Qiagen Blood and Tissue kit with proteinase K,Freshwater,Amphibia,Anura,Amphibia,Omnivore
Bird25,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird26,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird27,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird28,Sylvia atricapilla,Blackcap,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird29,Sylvia atricapilla,Blackcap,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird30,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird31,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird32,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird33,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird34,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird35,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird36,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird37,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird38,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird39,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird40,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR10,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR13,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR14,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR16,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR17,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR18,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR20,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR26,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR3,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR4,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR7,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
CR8,Corvus corone,Carrion crow,Bird,Female,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Gut contents,Qiagen Microbiome kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird65,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird66,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird67,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird68,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird69,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird70,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird71,Phylloscopus collybita,Chiffchaff,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
Bird72,Phylloscopus collybita,Chiffchaff,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Carnivore
E49,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E51,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E54,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E94,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E95,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E96,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2013,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E97,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2014,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
E98,Streptopelia decaocto,Collared dove,Bird,Unknown,Wild,"East Anglia, UK",UK,2012,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial,Aves,Columbiformes,Aves,Herbivore
Bird49,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird50,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird51,Carduelis carduelis,Goldfinch,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird52,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird53,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird54,Carduelis carduelis,Goldfinch,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird55,Carduelis carduelis,Goldfinch,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird56,Carduelis carduelis,Goldfinch,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird57,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2019,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird58,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird59,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird60,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird61,Parus major,Great tit,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird62,Parus major,Great tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird63,Parus major,Great tit,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird64,Parus major,Great tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
LB-BG1,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG10,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG2,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG3,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG4,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG5,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG6,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG7,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG8,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
LB-BG9,Branta bernicla hrota,Light-bellied brent goose,Bird,Unknown,Wild,Iceland,Iceland,2017,Frozen at -20C,Faeces,Qiagen PowerSoil kit,Terrestrial,Aves,Anseriformes,Aves,Herbivore
Bird41,Emberiza schoeniclus,Reed bunting,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird42,Emberiza schoeniclus,Reed bunting,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird43,Emberiza schoeniclus,Reed bunting,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird44,Emberiza schoeniclus,Reed bunting,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird45,Emberiza schoeniclus,Reed bunting,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird46,Emberiza schoeniclus,Reed bunting,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird47,Emberiza schoeniclus,Reed bunting,Bird,Female,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird48,Emberiza schoeniclus,Reed bunting,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird10,Acrocephalus scirpaceus,Reed warbler,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
Bird11,Acrocephalus scirpaceus,Reed warbler,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial,Aves,Passeriformes,Aves,Omnivore
