Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment
Bird30,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird31,Sylvia atricapilla,Blackcap,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird32,Sylvia atricapilla,Blackcap,Bird,Male,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird33,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird34,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird35,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird36,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird37,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird38,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird39,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
Bird40,Cyanistes caeruleus,Blue tit,Bird,Unknown,Wild,"Lincolnshire, UK",UK,2018,Frozen at -20C,Faeces,Qiagen PowerSoil Pro kit,Terrestrial
