Sample2,Species,Common_name,Taxa,Sex,Situ,Location,Country,CollectionYear,TissueStorage,SampleType,ExtractionKit,Environment
TF17,Glossina fuscipes,Tsetse fly,Invertebrate,Male,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
TF18,Glossina fuscipes,Tsetse fly,Invertebrate,Female,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
TF19,Glossina fuscipes,Tsetse fly,Invertebrate,Female,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
TF20,Glossina fuscipes,Tsetse fly,Invertebrate,Female,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
TF21,Glossina fuscipes,Tsetse fly,Invertebrate,Female,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
TF29,Glossina fuscipes,Tsetse fly,Invertebrate,Female,Wild,"Patira East, Uganda",Uganda,2019,70% ethanol,Whole insect,Qiagen Blood and Tissue kit with proteinase K,Terrestrial
IC01,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC02,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC03,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC04,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC05,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC06,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC07,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC08,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC09,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
IC10,Ircinia campana,Vase sponge,Invertebrate,NA,Wild,"Long Key, Florida, USA",USA,2014,95% ethanol,Tissue (choanosome),Qiagen Blood and Tissue kit with proteinase K,Marine
G203,Myodes glareolus,Bank vole,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G209,Myodes glareolus,Bank vole,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G210,Myodes glareolus,Bank vole,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G211,Myodes glareolus,Bank vole,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G215,Myodes glareolus,Bank vole,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G216,Myodes glareolus,Bank vole,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G217,Myodes glareolus,Bank vole,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G218,Myodes glareolus,Bank vole,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G219,Myodes glareolus,Bank vole,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
G220,Myodes glareolus,Bank vole,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Gut contents,Invitrogen Microbiome kit,Terrestrial
J124,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J126,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J138,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J146,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J147,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J163,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J169,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J176,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J189,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
J196,Sapajus libidinosus,Capuchin monkey,Mammal,Unknown,Wild,"Serra Talhada, State of Pernambuco, Brazil",Brazil,2017,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R1,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R101,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R109,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R113,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R130,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R137,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R147,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R20,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R27,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
R49,Diceros bicornis michaeli,Eastern black rhino,Mammal,Female,Captive,"Chester Zoo, Cheshire, UK",Captive,2011,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
Shrew10,Crocidura russula,Greater white-toothed shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew11,Crocidura russula,Greater white-toothed shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew18,Crocidura russula,Greater white-toothed shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew2,Crocidura russula,Greater white-toothed shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew20,Crocidura russula,Greater white-toothed shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew3,Crocidura russula,Greater white-toothed shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew4,Crocidura russula,Greater white-toothed shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew5,Crocidura russula,Greater white-toothed shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew6,Crocidura russula,Greater white-toothed shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew7,Crocidura russula,Greater white-toothed shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
GS1,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS10,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS11,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS12,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS2,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS3,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS4,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS5,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS6,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS7,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS8,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
GS9,Sciurus carolinensis,Grey squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H18,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H19,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H21x,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H23,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H24,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H27,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H3,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H30,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H34,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H35,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H5,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
H6,Erinaceus europaeus,Hedgehog,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
LJ250816-20,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Unknown,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-29,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Female,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-3,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Male,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-31,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Female,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-34,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Male,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-35A,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Female,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-35B,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Female,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-39,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Male,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-5,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Unknown,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
LJ250816-6,Rhinolophus hipposideros,Lesser horseshoe bat,Mammal,Female,Wild,"Killarney, County Kerry, Ireland",Ireland,2016,Frozen at -20C,Faeces,Zymo DNA Extraction kit,Terrestrial
M08,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Espirito Santo, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M11,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Espirito Santo, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M18,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Espirito Santo, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M20,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Espirito Santo, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M24,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Minas Gerais, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M41,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Espirito Santo, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M79,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Espirito Santo, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M83,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Minas Gerais, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M85,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Espirito Santo, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
M93,Brachyteles hypoxanthus,Northern muriqui,Mammal,Unknown,Wild,"Caparao National Park, Minas Gerais, Brazil",Brazil,2017/18,RNA Later,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
Shrew1,Sorex minutus,Pygmy shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew12,Sorex minutus,Pygmy shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew13,Sorex minutus,Pygmy shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew14,Sorex minutus,Pygmy shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew15,Sorex minutus,Pygmy shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew16,Sorex minutus,Pygmy shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew17,Sorex minutus,Pygmy shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew19,Sorex minutus,Pygmy shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew8,Sorex minutus,Pygmy shrew,Mammal,Female,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
Shrew9,Sorex minutus,Pygmy shrew,Mammal,Male,Wild,"Belle Ile, France",France,2018,100% ethanol and frozen at -20C,Gut contents,Qiagen PowerSoil kit,Terrestrial
DH10,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH11,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH12,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH2,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH3,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH4,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH5,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH6,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH7,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
DH8,Cervus elaphus,Red deer,Mammal,Unknown,Wild,"Dowth, County Louth",Ireland,2018,Frozen at -20C,Faeces,QIAamp Fast DNA Stool Mini kit ,Terrestrial
RS1,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS10,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS11,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS12,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS2,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS3,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS4,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS5,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS6,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS7,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS8,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
RS9,Sciurus vulgaris,Red squirrel,Mammal,Unknown,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
ROE1,Capreolus capreolus,Roe deer,Mammal,Male,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
ROE2,Capreolus capreolus,Roe deer,Mammal,Male,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
ROE3,Capreolus capreolus,Roe deer,Mammal,Male,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
ROE4,Capreolus capreolus,Roe deer,Mammal,Male,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
ROE5,Capreolus capreolus,Roe deer,Mammal,Male,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
ROE6,Capreolus capreolus,Roe deer,Mammal,Male,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
ROE7,Capreolus capreolus,Roe deer,Mammal,Male,Wild,"Cumbria, UK",UK,2019,Frozen at -20C,Faeces,Qiagen Microbiome kit,Terrestrial
CV103,Apodemus agrarius,Striped field mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV131,Apodemus agrarius,Striped field mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV144,Apodemus agrarius,Striped field mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV145,Apodemus agrarius,Striped field mouse,Mammal,Male,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV156,Apodemus agrarius,Striped field mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
CV159,Apodemus agrarius,Striped field mouse,Mammal,Female,Wild,"Chernobyl, Ukraine",Ukraine,2017,100% ethanol and frozen at -20C,Faeces,Invitrogen Microbiome kit,Terrestrial
